,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_alpha,param_hidden_layer_sizes,param_learning_rate,param_solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,4.856814956665039,2.1363572535083555,0.0049991607666015625,0.000632636697998894,tanh,0.0001,"(10, 30, 10)",constant,sgd,"{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (10, 30, 10), 'learning_rate': 'constant', 'solver': 'sgd'}",0.408731924596315,0.7397550549855801,0.7408286869759738,0.7526844155394373,0.7585814638822465,0.6801163091959106,0.13587874563581395,30
1,7.193545579910278,2.5426214397663336,0.005199623107910156,0.0007485969102821444,tanh,0.0001,"(10, 30, 10)",constant,adam,"{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (10, 30, 10), 'learning_rate': 'constant', 'solver': 'adam'}",0.7752443259509675,0.7648521588711249,0.7542922147301371,0.7654242413428708,0.756175210517739,0.7631976302825679,0.007502518826450087,16
2,9.01036558151245,0.19128158386125388,0.0053996086120605465,0.001019637672521061,tanh,0.0001,"(10, 30, 10)",adaptive,sgd,"{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (10, 30, 10), 'learning_rate': 'adaptive', 'solver': 'sgd'}",0.7724118675296371,0.7604519831661181,0.7677125759703466,0.7573164513470282,0.5625399246200766,0.7240865605266412,0.08094757525811255,28
3,5.179674577713013,2.0770621860858784,0.005399560928344727,0.0010199825087786629,tanh,0.0001,"(10, 30, 10)",adaptive,adam,"{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (10, 30, 10), 'learning_rate': 'adaptive', 'solver': 'adam'}",0.7754689316354826,0.761752903590689,0.7588223669606554,0.7769963852858415,0.7709442074161531,0.7687969589777643,0.007286531259619325,4
4,3.7315672397613526,0.8458342872370915,0.0033992767333984376,0.0004900576503788772,tanh,0.0001,"(20,)",constant,sgd,"{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (20,), 'learning_rate': 'constant', 'solver': 'sgd'}",0.7613633649534997,0.7605895995655416,0.756502278135939,0.7579407976809742,0.7152417453526837,0.7503275571377277,0.017630662883326438,26
5,4.463497114181519,0.9767667188799085,0.0036001682281494142,0.0004895321694062163,tanh,0.0001,"(20,)",constant,adam,"{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (20,), 'learning_rate': 'constant', 'solver': 'adam'}",0.776013444393928,0.7631306419980722,0.7663903664296292,0.7823462836543037,0.7697547524278628,0.7715270977807592,0.006887812071101083,1
6,5.229061269760132,0.3058043224120314,0.004200649261474609,0.00040116385218718796,tanh,0.0001,"(20,)",adaptive,sgd,"{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (20,), 'learning_rate': 'adaptive', 'solver': 'sgd'}",0.7734362155231612,0.7622949482513004,0.7636578961186776,0.7645069149825449,0.7679098197525516,0.7663611589256472,0.003993361888611233,7
7,4.707014656066894,0.6282893203603777,0.0035993099212646485,0.0004903893950093,tanh,0.0001,"(20,)",adaptive,adam,"{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (20,), 'learning_rate': 'adaptive', 'solver': 'adam'}",0.7746774926320946,0.7630170303308254,0.7703915924543651,0.7688099649748027,0.7637876126070257,0.7681367385998227,0.004323086226964652,5
8,4.501876640319824,2.6673090638257158,0.005598258972167969,0.000800467737592035,tanh,0.05,"(10, 30, 10)",constant,sgd,"{'activation': 'tanh', 'alpha': 0.05, 'hidden_layer_sizes': (10, 30, 10), 'learning_rate': 'constant', 'solver': 'sgd'}",0.7518237392189585,0.41607188658158106,0.7567796083943011,0.7686470486816549,0.196878297317036,0.5780401160387063,0.23237796624870982,32
9,5.671203708648681,1.8399600095359945,0.006200456619262695,0.00039928057317920745,tanh,0.05,"(10, 30, 10)",constant,adam,"{'activation': 'tanh', 'alpha': 0.05, 'hidden_layer_sizes': (10, 30, 10), 'learning_rate': 'constant', 'solver': 'adam'}",0.7718374425829376,0.7613237717236269,0.7704293452002026,0.763010881291319,0.7620489074309883,0.7657300696458148,0.004466398926816466,9
