,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_features,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.2918358325958252,0.005382820306753105,0.026399993896484376,0.0008003593108156806,gini,1,50,"{'criterion': 'gini', 'max_features': 1, 'n_estimators': 50}",0.8268111309770534,0.8193750439359394,0.8131480431956656,0.804398423967745,0.8054552634020573,0.8138375810956922,0.008471279607591291,8
1,0.5753090381622314,0.00311801694252261,0.05143160820007324,0.00046615856173075305,gini,1,100,"{'criterion': 'gini', 'max_features': 1, 'n_estimators': 100}",0.8274155033572649,0.8196009658042267,0.8124987716249814,0.8039977252211669,0.8058138597222834,0.8138653651459847,0.008724310810385202,5
2,0.8625386238098145,0.004896547065582573,0.07744250297546387,0.0010884646887909316,gini,1,150,"{'criterion': 'gini', 'max_features': 1, 'n_estimators': 150}",0.8268413659180078,0.8199686927764812,0.8131132945816563,0.804398423967745,0.8045707305897988,0.8137785015667378,0.00874263455410044,15
3,1.147834587097168,0.0028320923994983576,0.10163278579711914,0.001127741577552621,gini,1,200,"{'criterion': 'gini', 'max_features': 1, 'n_estimators': 200}",0.8270493917301197,0.8191341731387357,0.8126804061985786,0.804398423967745,0.8056345664629735,0.8137793922996306,0.00848899390886402,14
4,0.3207685470581055,0.018760250269563492,0.026507139205932617,0.00044747431451278377,gini,2,50,"{'criterion': 'gini', 'max_features': 2, 'n_estimators': 50}",0.8270241235223142,0.8192200601187963,0.8129166105765785,0.804398423967745,0.8054552634020573,0.8138028963174981,0.008521256836104,10
5,0.6254895687103271,0.009128080595553353,0.05060000419616699,0.0004902332049977187,gini,2,100,"{'criterion': 'gini', 'max_features': 2, 'n_estimators': 100}",0.827239359166784,0.8196009658042267,0.8122668320234577,0.8041824241329608,0.8054552634020573,0.8137489689058974,0.008703304621859406,17
6,0.9220765590667724,0.008637711241660264,0.07579984664916992,0.0007486217430901813,gini,2,150,"{'criterion': 'gini', 'max_features': 2, 'n_estimators': 150}",0.8268663236259225,0.8196009658042267,0.8127000495514592,0.804398423967745,0.8045707305897988,0.8136272987078303,0.008706432396833459,23
7,1.2285271644592286,0.0045412889354159314,0.10130248069763184,0.0009849455654415882,gini,2,200,"{'criterion': 'gini', 'max_features': 2, 'n_estimators': 200}",0.8268663236259225,0.8187667217546645,0.8122668320234577,0.804398423967745,0.8054552634020573,0.8135507129547694,0.008431622415106239,26
8,0.33846259117126465,0.0021925679585794305,0.025800132751464845,0.0004002573094198202,gini,3,50,"{'criterion': 'gini', 'max_features': 3, 'n_estimators': 50}",0.8266748762591266,0.8190376524973999,0.8133296912709443,0.8042186089553706,0.8054552634020573,0.8137432184769798,0.008424229284680401,18
9,0.6820735931396484,0.010867540022633196,0.05180196762084961,0.0011663530892081437,gini,3,100,"{'criterion': 'gini', 'max_features': 3, 'n_estimators': 100}",0.8270742668436898,0.8194191710476142,0.8127000495514592,0.8041824241329608,0.8056345664629735,0.8138020956077396,0.008580946135911417,11
10,1.0223618984222411,0.0140224995643909,0.07563943862915039,0.0012465437955505553,gini,3,150,"{'criterion': 'gini', 'max_features': 3, 'n_estimators': 150}",0.8274404969578869,0.8194191710476142,0.8127000495514592,0.804398423967745,0.8045707305897988,0.8137057744229008,0.008858586624842164,21
11,1.354304885864258,0.007474663774041352,0.10060076713562012,0.0004894359214774216,gini,3,200,"{'criterion': 'gini', 'max_features': 3, 'n_estimators': 200}",0.8272573859898591,0.8185842537916536,0.8127000495514592,0.8045782321505331,0.8054552634020573,0.8137150369771124,0.00848339260666941,20
12,0.3796834945678711,0.002365524007165423,0.026400375366210937,0.0010201418255987682,gini,4,50,"{'criterion': 'gini', 'max_features': 4, 'n_estimators': 50}",0.8266748762591266,0.8188505464061487,0.8121705611598026,0.804398423967745,0.8052274400993417,0.8134643695784328,0.008429005930282276,28
13,0.7585303306579589,0.0014493082936933611,0.051401615142822266,0.0004908569210677473,gini,4,100,"{'criterion': 'gini', 'max_features': 4, 'n_estimators': 100}",0.8268663236259225,0.8192331177070645,0.8123238769450899,0.8041824241329608,0.8052274400993417,0.813566636502076,0.008580685014463688,25
14,1.1325900077819824,0.012156842062817004,0.07400054931640625,0.0006323362599530313,gini,4,150,"{'criterion': 'gini', 'max_features': 4, 'n_estimators': 150}",0.8268663236259225,0.8194191710476142,0.8123238769450899,0.8042137062475092,0.8041606851796842,0.813396752609164,0.008814569886909363,31
15,1.510928201675415,0.011046065507762706,0.10000019073486328,0.0014149211051051333,gini,4,200,"{'criterion': 'gini', 'max_features': 4, 'n_estimators': 200}",0.8268663236259225,0.8185842537916536,0.8123238769450899,0.8042137062475092,0.8052274400993417,0.8134431201419033,0.008491711626137252,29
16,0.2931056976318359,0.004581920997144639,0.026978015899658203,0.0011189122557822603,entropy,1,50,"{'criterion': 'entropy', 'max_features': 1, 'n_estimators': 50}",0.8268348643789546,0.819404810617157,0.8133296912709443,0.8045734318207165,0.8054552634020573,0.8139196122979658,0.008440798960755412,2
17,0.5823928833007812,0.0033809505398476594,0.05163593292236328,0.0008206872630822727,entropy,1,100,"{'criterion': 'entropy', 'max_features': 1, 'n_estimators': 100}",0.827024374753154,0.8197869588526795,0.8126804061985786,0.8041775871937699,0.8056345664629735,0.8138607786922311,0.008616587688983024,6
