,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_n_estimators,param_num_class,param_objective,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,2.5314117431640626,0.1434357348971469,0.010152196884155274,0.0005833704914992656,0.2,6,150,3,multi:softmax,"{'learning_rate': 0.2, 'max_depth': 6, 'n_estimators': 150, 'num_class': 3, 'objective': 'multi:softmax'}",0.8102834959725763,0.8130992004537972,0.8110577510687013,0.8140985647219848,0.8152561138343563,0.8127590252102831,0.001853003810451653,12
1,4.065672779083252,0.25519961139008507,0.015496015548706055,0.0007476189889577318,0.2,6,250,3,multi:softmax,"{'learning_rate': 0.2, 'max_depth': 6, 'n_estimators': 250, 'num_class': 3, 'objective': 'multi:softmax'}",0.8101209860313178,0.8152930053247398,0.8120899019944865,0.8110802899021804,0.8164274140458027,0.8130023194597055,0.0024416101340042577,11
2,3.164676380157471,0.06911218996592242,0.014446353912353516,0.0009124034445210639,0.2,8,150,3,multi:softmax,"{'learning_rate': 0.2, 'max_depth': 8, 'n_estimators': 150, 'num_class': 3, 'objective': 'multi:softmax'}",0.810115343009108,0.8145606823001547,0.8115423039663535,0.8123156472132017,0.8169656530686766,0.813099925911499,0.0024094260720173657,10
3,5.173362445831299,0.06896026582529724,0.02164764404296875,0.0003718418657735567,0.2,8,250,3,multi:softmax,"{'learning_rate': 0.2, 'max_depth': 8, 'n_estimators': 250, 'num_class': 3, 'objective': 'multi:softmax'}",0.810717106933614,0.8151000394792156,0.8142781469315022,0.8117217898432018,0.8163300874322289,0.8136294341239525,0.0020975124826602552,7
4,3.8700229644775392,0.04164085052044377,0.018830490112304688,0.001493398281985645,0.2,10,150,3,multi:softmax,"{'learning_rate': 0.2, 'max_depth': 10, 'n_estimators': 150, 'num_class': 3, 'objective': 'multi:softmax'}",0.8103261612214959,0.8151641549659168,0.8153334418038273,0.8114476900698447,0.8161086225180322,0.8136760141158235,0.0023266351599121036,4
5,6.395243740081787,0.17762080128874666,0.027145862579345703,0.0015572200669418913,0.2,10,250,3,multi:softmax,"{'learning_rate': 0.2, 'max_depth': 10, 'n_estimators': 250, 'num_class': 3, 'objective': 'multi:softmax'}",0.8103665781637445,0.8155698902285877,0.8141344450550566,0.8106092964604495,0.8161243674453008,0.8133609154706278,0.0024352432075742487,9
6,2.3422940731048585,0.04481414316150393,0.011094379425048827,0.000734171283754545,0.3,6,150,3,multi:softmax,"{'learning_rate': 0.3, 'max_depth': 6, 'n_estimators': 150, 'num_class': 3, 'objective': 'multi:softmax'}",0.8104889762236613,0.8153007333578088,0.8125895788254085,0.8123895217591551,0.8173935309582608,0.8136324682248588,0.0024266346085097313,6
7,3.807229423522949,0.05245449025818852,0.01609358787536621,0.0016797366851865165,0.3,6,250,3,multi:softmax,"{'learning_rate': 0.3, 'max_depth': 6, 'n_estimators': 250, 'num_class': 3, 'objective': 'multi:softmax'}",0.8113457758397077,0.8149755994342901,0.8119091524502426,0.8126333198818968,0.8175746018280362,0.8136876898868346,0.0023033127606074113,3
8,3.012170171737671,0.044486786414790154,0.01416478157043457,0.0005822253285373329,0.3,8,150,3,multi:softmax,"{'learning_rate': 0.3, 'max_depth': 8, 'n_estimators': 150, 'num_class': 3, 'objective': 'multi:softmax'}",0.8111485198149251,0.81511508598414,0.814444553426148,0.8105445674837747,0.8171181898014187,0.8136741833020812,0.002478076780700941,5
9,4.939466857910157,0.03152611787532579,0.022193288803100585,0.0006944304563154724,0.3,8,250,3,multi:softmax,"{'learning_rate': 0.3, 'max_depth': 8, 'n_estimators': 250, 'num_class': 3, 'objective': 'multi:softmax'}",0.810717106933614,0.8153236734331925,0.8155523065650416,0.8106092964604495,0.8154541889940742,0.8135313144772743,0.0023431755991593813,8
10,3.681597423553467,0.04622247134018814,0.018584680557250977,0.00039005292365484765,0.3,10,150,3,multi:softmax,"{'learning_rate': 0.3, 'max_depth': 10, 'n_estimators': 150, 'num_class': 3, 'objective': 'multi:softmax'}",0.8123318715769332,0.8150077446124081,0.8143222183150236,0.8106092964604495,0.8162884622723166,0.8137119186474262,0.00201101974225267,2
11,6.029399967193603,0.030798285779079757,0.02593121528625488,0.0009157402516203127,0.3,10,250,3,multi:softmax,"{'learning_rate': 0.3, 'max_depth': 10, 'n_estimators': 250, 'num_class': 3, 'objective': 'multi:softmax'}",0.8125130117250926,0.8151825451198952,0.8150674782118728,0.8115098131606368,0.8166821968140456,0.8141910090063085,0.001895354577111236,1
